placebo_id,pop_share_grp1,boundary_len_m,obj_on,obj_off,bound_on,bound_off,status_on,status_off,cost
0,0.3965937294338723,149635.91488709635,0.3554880334867708,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07082657003163007
1,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
2,0.3010205934969513,157415.05090640992,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
3,0.3392880271222991,169919.88342882734,0.35786854706182936,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0732070836066886
4,0.2867762758546052,145479.35441057754,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
5,0.3478147264183629,176164.46581455527,0.33250187137712095,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.04784040792198019
6,0.2895983838452668,117380.0592923262,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
7,0.3021208774112864,175964.64939176515,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
8,0.2895983838452668,117380.0592923262,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
9,0.3567400030613546,111634.7632597944,0.32753640271081397,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.042874939255673206
10,0.3478147264183629,176164.46581455527,0.33250187137712095,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.04784040792198019
11,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
12,0.4205579732128967,150193.92604136985,0.3573135606328426,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07265209717770182
13,0.2987679175047605,131690.42252418294,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
14,0.4381898225241044,120116.84156632642,0.2805744460397206,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,-0.004087017415420169
15,0.2895983838452668,117380.0592923262,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
16,0.3803931009793579,145096.528652984,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
17,0.2688593347641366,118625.04452638223,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
18,0.289122395813109,109655.9252010524,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
19,0.2612307497287494,135112.2299300887,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
20,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
21,0.3897760776932718,175206.35190578544,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
22,0.4141166025377176,168940.53133476205,0.3133237872552659,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.028662323800125122
23,0.3622178737514395,144070.17980759,0.33865943501272655,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.05399797155758579
24,0.3311944769354988,107644.12619596029,0.3541351952853365,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.06947373183019573
25,0.256671285420712,171199.99559807882,0.35904354665352495,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07438208319838419
26,0.3627482246272701,121526.01616931392,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
27,0.3150840356870774,173319.4285262264,0.36225103109330853,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07758956763816777
28,0.2986105909341315,156238.20338363008,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
29,0.3205974802195657,173495.44296774874,0.3645514182897942,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07988995483465344
30,0.4458116435190346,176057.6048322931,0.3056070193105235,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.020945555855382714
31,0.2893060269855151,115484.60598968728,0.38571704786194533,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.10105558440680457
32,0.3266595635891201,122562.9628798224,0.2889550034462788,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.004293539991138018
33,0.3513883944597999,116578.45350400076,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
34,0.256671285420712,171199.99559807882,0.35904354665352495,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07438208319838419
35,0.3988697037876372,158956.0282437983,0.3622730964850499,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.07761163302990914
36,0.4141166025377176,168940.53133476205,0.3133237872552659,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.028662323800125122
37,0.4003477718874955,105163.50743466408,0.313093930471694,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.02843246701655322
38,0.256072292060244,156804.5835693587,0.34933398280069716,0.28466146345514076,,,HEUR-FEASIBLE,HEUR-FEASIBLE,0.0646725193455564
39,0.2756181143007598,125680.49174473468,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
40,0.2963571633818899,146754.50390927136,,0.28466146345514076,,,HEUR-INFEASIBLE,HEUR-FEASIBLE,
