i,j
252010010,252010020
252010010,252010030
252010010,252010040
252010010,252010050
252010010,252010060
252010010,252010070
252010010,252010080
252010010,252010170
252010010,252120710
252010010,26103005001
252010010,26103005002
252010010,26103007010
252010010,26103007011
252010010,26103007013
252010020,252010030
252010020,252010080
252010030,252010040
252010030,252010080
252010040,252010050
252010040,252010080
252010050,252010060
252010050,252010080
252010060,252010070
252010060,252010080
252010070,252010080
252010080,252010170
252010080,252014130
252010080,252014170
252010080,25201419001
252010080,25201419002
252010080,252014210
252010080,252014220
252010080,252014230
252010080,252014240
252010080,252014250
252010080,252120710
252010090,252010100
252010090,252010110
252010090,252010170
252010090,25201029002
252010090,252010310
252010090,252010320
252010090,252010541
252010090,25201054207
252010100,252010110
252010100,252010140
252010100,252010180
252010100,25201029001
252010100,25201029002
252010110,252010120
252010110,252010130
252010110,252010140
252010110,252010170
252010120,252010130
252010120,252010170
252010130,252010140
252010130,252010170
252010140,252010150
252010140,252010160
252010140,252010170
252010140,252010180
252010140,252010280
252010150,252010160
252010150,25201024003
252010150,252010280
252010150,252014080
252010150,252014090
252010150,252014170
252010160,252010170
252010160,252014170
252010170,252010541
252010170,252014170
252010170,26103007004
252010170,26103007005
252010170,26103007010
252010180,252010280
252010180,25201029001
25201023001,25201023002
25201023001,25201023003
25201023001,252010320
25201023001,25201042005
25201023001,25201042006
25201023001,25201051002
25201023002,25201023003
25201023002,25201023004
25201023002,25201023005
25201023002,25201042005
25201023002,25201051002
25201023002,25201051003
25201023003,25201023004
25201023003,25201024001
25201023003,25201024002
25201023003,252010310
25201023003,252010320
25201023004,25201023005
25201023004,25201023006
25201023004,25201024001
25201023004,25201024002
25201023004,252010330
25201023004,252010340
25201023005,25201023006
25201023005,25201051003
25201023005,252011560
25201023005,252014080
25201023006,252010340
25201023006,25201404001
25201023006,252014080
25201024001,25201024002
25201024001,25201024003
25201024001,252010330
25201024001,252010350
25201024001,252010360
25201024002,25201024003
25201024002,25201029001
25201024002,25201029002
25201024002,252010310
25201024003,252010280
25201024003,25201029001
25201024003,25201029002
25201024003,252010360
25201024003,252010370
25201024003,252014080
252010270,252010350
252010270,252010360
252010270,252010390
252010270,252014080
252010280,25201029001
25201029001,25201029002
25201029002,252010310
252010310,252010320
252010320,25201042006
252010320,25201048003
252010320,25201054207
252010330,252010340
252010330,252010350
252010330,25201402001
252010340,25201402001
252010340,25201404001
252010340,25201404002
252010350,252010360
252010350,25201402001
252010350,25201402002
252010350,252014080
252010360,252010370
252010360,252010390
252010370,252010380
252010370,252010390
252010370,252014080
252010380,252010390
252010380,252014080
252010390,252014080
25201040001,25201040002
25201040001,25201048001
25201040001,252011560
25201040002,25201042001
25201040002,25201042003
25201040002,25201042005
25201040002,25201048001
25201040002,252011560
25201042001,25201042002
25201042001,25201042003
25201042001,252011560
25201042002,25201042003
25201042002,25201042004
25201042002,25201051001
25201042002,25201051002
25201042002,252011560
25201042003,25201042004
25201042003,25201042005
25201042003,25201048001
25201042004,25201042005
25201042004,25201051002
25201042005,25201042006
25201042005,25201048001
25201042005,25201048002
25201042005,25201051002
25201042006,25201048001
25201042006,25201048002
25201042006,25201048003
25201048001,25201048002
25201048001,25201055101
25201048001,25201055203
25201048001,25201055204
25201048001,252011560
25201048001,25201400002
25201048001,25201400004
25201048002,25201048003
25201048002,25201054207
25201048002,25201400004
25201048002,25201400008
25201048003,25201054207
25201051001,25201051002
25201051001,25201051003
25201051001,252011560
25201051002,25201051003
25201051003,252011560
252010541,25201054202
252010541,25201054204
252010541,25201054205
252010541,25201054207
252010541,252010710
252010541,26103007002
252010541,26103007003
252010541,26103007004
25201054201,25201054202
25201054201,25201054203
25201054201,25201055102
25201054201,25201055202
25201054201,25201061001
25201054201,252010710
25201054201,25201341001
25201054201,25201341002
25201054201,25201400001
25201054202,25201054203
25201054202,25201054204
25201054202,252010710
25201054203,25201054204
25201054203,25201054206
25201054203,25201341002
25201054203,25201341003
25201054204,25201054205
25201054204,25201054206
25201054205,25201054206
25201054205,25201054207
25201054206,25201054207
25201054206,25201341003
25201054206,25201341005
25201054206,25201341007
25201054207,25201341007
25201054207,25201400008
25201055101,25201055102
25201055101,25201055202
25201055101,25201055203
25201055101,25201400002
25201055102,25201055202
25201055102,25201400001
25201055102,25201400002
25201055201,25201055202
25201055201,25201055206
25201055201,25201061001
25201055201,25201061002
25201055201,25201064002
25201055202,25201055203
25201055202,25201055204
25201055202,25201055205
25201055202,25201055206
25201055202,25201061001
25201055203,25201055204
25201055204,25201055205
25201055204,252011560
25201055205,25201055206
25201055205,252011560
25201055206,25201064002
25201055206,25201064003
25201055206,252011560
25201061001,25201061002
25201061001,25201064002
25201061001,252010710
25201061002,25201061003
25201061002,25201064001
25201061002,25201064002
25201061002,25201067003
25201061002,252010710
25201061003,25201064001
25201061003,25201064002
25201061003,25201067003
25201061003,25201067004
25201061003,252010710
25201064001,25201064002
25201064001,25201064003
25201064001,25201067004
25201064001,252010800
25201064002,25201064003
25201064003,252010800
25201064003,252011560
25201067001,25201067002
25201067001,25201067003
25201067001,25201067004
25201067001,25201072007
25201067001,252010800
25201067002,25201067003
25201067002,252010710
25201067002,25201072007
25201067002,25201072008
25201067003,25201067004
25201067003,252010710
25201067004,252010800
252010710,25201072001
252010710,25201072004
252010710,25201072005
252010710,25201072008
252010710,252011320
252010710,252011330
252010710,252011360
252010710,26103007001
252010710,26103007002
252010710,26103008001
252010710,26103008002
252010710,26103010030
252010710,26103010064
25201072001,25201072002
25201072001,25201072004
25201072001,25201081002
25201072001,25201094001
25201072001,25201094003
25201072001,252011330
25201072002,25201072003
25201072002,25201072004
25201072002,25201081002
25201072002,25201081003
25201072002,25201081004
25201072003,25201072004
25201072003,25201072006
25201072003,25201072007
25201072003,25201081003
25201072003,25201081004
25201072003,25201081005
25201072003,25201081006
25201072004,25201072005
25201072004,25201072006
25201072005,25201072006
25201072005,25201072008
25201072006,25201072007
25201072006,25201072008
25201072007,25201072008
25201072007,252010800
25201072007,25201081006
25201072007,25201087001
25201072007,25201087002
252010800,25201087002
252010800,252011560
25201081001,25201081002
25201081001,25201081003
25201081001,25201089001
25201081001,25201089002
25201081001,25201089004
25201081001,252011560
25201081002,25201081003
25201081002,25201089004
25201081002,25201094001
25201081003,25201081004
25201081003,252011560
25201081004,25201081005
25201081004,252011560
25201081005,25201081006
25201081005,252011560
25201081006,25201087001
25201081006,252011560
25201087001,25201087002
25201087001,252011560
25201087002,252011560
25201089001,25201089002
25201089001,25201103004
25201089001,252011560
25201089002,25201089003
25201089002,25201089004
25201089002,25201103004
25201089002,252011080
25201089003,25201089004
25201089003,252010930
25201089003,25201094002
25201089003,25201097004
25201089003,252011080
25201089004,25201094001
25201089004,25201094002
252010930,25201094002
252010930,25201094003
252010930,25201097003
252010930,25201097004
25201094001,25201094002
25201094001,25201094003
25201094002,25201094003
25201094003,25201097003
25201094003,252011330
25201097001,25201097002
25201097001,25201101001
25201097001,25201101002
25201097001,252011240
25201097001,252011310
25201097001,252011320
25201097002,25201097003
25201097002,25201097004
25201097002,25201101002
25201097002,252011320
25201097002,252011330
25201097003,25201097004
25201097003,252011330
25201097004,25201101002
25201097004,252011080
25201101001,25201101002
25201101001,25201103002
25201101001,252011070
25201101001,25201120002
25201101001,25201120003
25201101001,25201120004
25201101001,252011240
25201101002,252011070
25201101002,252011080
25201101002,252011240
25201103001,25201103002
25201103001,25201103003
25201103001,25201120004
25201103001,25201125002
25201103001,252011290
25201103001,252011560
25201103002,25201103003
25201103002,252011070
25201103002,25201120004
25201103003,25201103004
25201103003,252011070
25201103003,252011080
25201103003,252011560
25201103004,252011070
25201103004,252011080
25201103004,252011560
252011070,252011080
25201109001,25201109002
25201109001,25201112001
25201109001,25201114001
25201109001,252011350
25201109001,252011490
25201109001,252011530
25201109002,25201109003
25201109002,25201112001
25201109002,25201112002
25201109002,252011490
25201109002,252011510
25201109002,252011530
25201109003,25201112002
25201109003,252011340
25201109003,252011510
25201109003,252011520
25201109003,252011530
25201112001,25201112002
25201112001,25201114001
25201112001,25201114002
25201112002,25201114002
25201112002,25201114003
25201112002,252011340
25201114001,25201114002
25201114001,252011190
25201114001,252011300
25201114001,252011490
25201114002,25201114003
25201114002,252011170
25201114002,252011190
25201114002,25201127001
25201114003,252011170
25201114003,252011340
252011170,252011180
252011170,25201127001
252011170,25201127002
252011170,252011290
252011170,252011340
252011180,252011290
252011180,252011340
252011180,252011520
252011180,252011560
252011190,25201120001
252011190,25201125001
252011190,25201127001
252011190,252011300
25201120001,25201120002
25201120001,25201120003
25201120001,25201125001
25201120001,252011300
25201120001,252011310
25201120002,25201120003
25201120002,252011240
25201120002,252011310
25201120003,25201120004
25201120003,252011240
25201120003,25201125001
25201120003,25201125002
25201120004,25201125002
252011240,252011310
25201125001,25201125002
25201125001,25201127001
25201125002,25201127001
25201125002,25201127002
25201125002,252011290
25201127001,25201127002
25201127002,252011290
252011290,252011560
252011300,252011310
252011300,252011490
252011310,252011320
252011310,252011360
252011310,252011490
252011320,252011330
252011320,252011360
252011340,252011520
252011350,252011490
252011360,25201137001
252011360,25201137003
252011360,252011490
252011360,26103010030
252011360,26103012021
252011360,26103012026
252011360,26103012027
25201137001,25201137002
25201137001,25201137003
25201137001,252011490
25201137002,25201137003
25201137002,252011490
25201137002,26103012026
25201137003,26103012026
252011400,252011410
252011400,252011420
252011400,252011430
252011400,252011620
252011400,252011650
252011400,25201171001
252011400,26110008044
252011400,26110008045
252011400,26110008046
252011400,26110008050
252011400,26110008051
252011410,252011430
252011410,252011440
252011410,25201145001
252011410,25201145002
252011410,26110008002
252011410,26110008023
252011410,26110008031
252011410,26110008032
252011410,26110008050
252011420,252011430
252011420,252011440
252011420,252011480
252011420,252011490
252011420,252011620
252011420,26103014025
252011420,26103014028
252011420,26110007005
252011420,26110007007
252011420,26110007008
252011420,26110007009
252011420,26110007016
252011420,26110007017
252011420,26110013016
252011430,252011440
252011430,25201145002
252011440,25201145002
252011440,26110007009
25201145001,25201145002
25201145001,26110007011
25201145001,26110007012
25201145001,26110007015
25201145001,26110008001
25201145001,26110008002
25201145002,26110007009
25201145002,26110007010
25201145002,26110007011
252011470,252011480
252011470,252011500
252011470,252011530
252011470,25201154003
252011470,25201154004
252011470,252011610
252011480,252011490
252011480,252011530
252011480,252011600
252011480,252011610
252011480,252011620
252011490,252011530
252011490,26103014025
252011500,252011510
252011500,252011520
252011500,252011530
252011500,25201154003
252011500,25201154004
252011500,252011560
252011510,252011520
252011510,252011530
252011520,252011560
25201154001,25201154002
25201154001,25201154004
25201154001,25201154005
25201154001,25201157003
25201154001,25201179001
25201154001,25201179002
25201154001,252011880
25201154002,25201154003
25201154002,25201154004
25201154002,25201157003
25201154002,25201179001
25201154003,25201154004
25201154003,25201157003
25201154003,252011610
25201154004,25201154005
25201154004,252011560
25201154005,252011560
25201154005,252011870
25201154005,252011880
252011560,25201179004
252011560,252011870
252011560,252011980
252011560,25201201001
252011560,25201201002
252011560,25201201003
252011560,25201201004
252011560,252012100
252011560,252012110
252011560,25201212001
252011560,252012140
252011560,252012210
252011560,252012320
252011560,252012360
252011560,25201242001
252011560,252012440
252011560,25201251001
252011560,25201251003
252011560,25201256001
252011560,25201263001
252011560,25201267001
252011560,25201267005
252011560,25201267006
252011560,25201285001
252011560,25201286001
252011560,25201286003
252011560,25201286004
252011560,25201307006
252011560,25201307007
252011560,25201310001
252011560,25201310002
252011560,25201310003
252011560,25201310004
252011560,25201310005
252011560,25201310006
252011560,252013190
252011560,252013370
252011560,252014080
252011560,252014100
252011560,252014110
252011560,252014120
252011560,252014130
252011560,252014180
252011560,25201419001
252011560,25201419002
252011560,252014210
252011560,252014220
252011560,252014230
252011560,252014240
252011560,252014250
252011560,252014260
252011560,252014270
252011560,252040820
252011560,252060850
252011560,252070450
252011560,252100520
252011560,252120990
252011560,252121260
25201157001,25201157002
25201157001,252011600
25201157001,252011610
25201157001,252011620
25201157001,25201171002
25201157001,252011730
25201157002,25201157003
25201157002,252011610
25201157002,252011730
25201157002,25201179001
25201157002,25201183001
25201157003,252011610
25201157003,25201179001
252011600,252011610
252011600,252011620
252011620,25201171001
252011620,25201171002
252011650,25201171001
252011650,252011740
252011650,25201175002
252011650,25201177002
252011650,252011940
252011650,252011990
252011650,252012200
252011650,26110008048
252011650,26110008051
25201166001,25201166002
25201166001,252011680
25201166001,252011690
25201166001,25201177001
25201166001,25201183003
25201166001,25201183004
25201166001,25201196001
25201166002,252011690
25201166002,25201171001
25201166002,252011740
25201166002,25201175001
25201166002,25201177001
25201166002,25201177002
25201166002,25201196001
252011680,252011690
252011680,252011700
252011680,25201183002
252011680,25201183003
252011690,252011700
252011690,25201171001
252011690,25201171002
252011700,25201171002
252011700,252011730
252011700,25201183001
252011700,25201183002
25201171001,25201171002
25201171001,252011740
25201171001,25201175001
25201171002,252011730
252011730,25201179001
252011730,25201183001
252011740,25201175001
252011740,25201175002
25201175001,25201175002
25201175001,25201177001
25201175001,25201177002
25201175002,25201177002
25201177001,25201177002
25201177001,25201191002
25201177001,252011950
25201177001,25201196001
25201177001,252011990
25201177002,25201191002
25201177002,252011990
25201179001,25201179002
25201179001,25201183001
25201179001,25201183002
25201179001,252011880
25201179002,25201179003
25201179002,25201183001
25201179002,25201183002
25201179002,25201183003
25201179002,252011870
25201179002,252011880
25201179003,25201179004
25201179003,25201183003
25201179003,25201183004
25201179003,252011870
25201179003,252011880
25201179004,25201183004
25201179004,252011870
25201179004,25201196001
25201179004,25201196002
25201179004,252011980
25201183001,25201183002
25201183002,25201183003
25201183003,25201183004
25201183004,25201196001
25201183004,25201196002
252011870,252011880
252011900,25201191001
252011900,25201191003
252011900,25201201003
252011900,25201201004
252011900,252012050
252011900,252012060
25201191001,25201191002
25201191001,25201191003
25201191001,252011980
25201191001,25201201001
25201191001,25201201002
25201191001,25201201003
25201191002,25201191003
25201191002,252011950
25201191002,252011980
25201191002,252011990
25201191002,252012190
25201191003,252011990
25201191003,252012060
25201191003,252012070
25201191003,252012190
252011940,252011990
252011940,252012190
252011940,252012200
252011940,252014010
252011950,25201196001
252011950,25201196002
252011950,252011980
25201196001,25201196002
25201196002,252011980
252011980,25201201001
252011980,25201201002
252011990,252012190
25201201001,25201201002
25201201002,25201201003
25201201003,25201201004
25201201004,252012050
25201201004,252012210
252012050,252012060
252012050,25201208002
252012050,252012100
252012050,252012210
252012060,252012070
252012060,25201208002
252012070,25201208001
252012070,25201208002
252012070,252012190
252012070,252012220
25201208001,25201208002
25201208001,252012100
25201208001,252012110
25201208001,25201212002
25201208001,252012190
25201208001,252012220
25201208002,252012100
252012100,252012110
252012100,252012210
252012110,25201212001
252012110,25201212002
25201212001,25201212002
25201212001,252012140
25201212001,252012150
25201212002,252012150
25201212002,25201216003
25201212002,252012220
252012140,252012150
252012140,25201216001
252012140,25201242001
252012140,25201242002
252012150,25201216001
252012150,25201216002
252012150,25201216003
252012150,25201242002
25201216001,25201216002
25201216001,25201216003
25201216001,252012330
25201216001,25201242002
25201216002,25201216003
25201216002,252012230
25201216002,25201228001
25201216002,252012300
25201216002,252012330
25201216003,252012220
25201216003,252012230
25201216003,252012300
252012190,252012200
252012190,252012220
252012190,252014010
252012200,252012220
252012200,252012240
252012200,252012260
252012200,252014010
252012200,26110008036
252012200,26110008048
252012220,252012230
252012220,252012240
252012220,252012260
252012230,252012260
252012230,252012270
252012230,25201228002
252012230,252012300
252012240,252012260
252012260,252012270
252012260,25201245002
252012260,26110008036
252012260,26110008041
252012270,25201228002
252012270,25201228003
252012270,25201237003
252012270,25201245002
