i,j,w
0,1,1708.1216653710837
0,2,1581.1834405669922
0,3,1303.2575600705075
0,4,891.279222080179
0,5,1334.3577146446848
0,6,861.7841955135584
0,7,4417.6519779513055
0,16,2180.921226518149
0,2125,1836.97347524786
0,3861,4644.336614240071
0,3862,3891.4837714443765
0,3880,272.0588393534884
0,3881,2228.756925444004
0,3883,2683.3174293685643
1,2,840.9101529074172
1,7,1040.3461788653613
2,3,876.2289678272448
2,7,1301.7255954039106
3,4,1003.9791558961673
3,7,1665.489092168731
4,5,886.8413895058499
4,7,499.3271230978161
5,6,884.4547635183927
5,7,1375.0308312412762
6,7,1853.2769547192033
7,16,470.0888467466143
7,481,2356.5180052835194
7,485,1466.335723676888
7,487,139.13389424576604
7,488,1047.2832945347063
7,489,1172.361185640832
7,490,1655.0533689410713
7,491,2001.6580249524852
7,492,4848.553280481235
7,493,2730.90284624288
7,2125,2855.2413032213863
8,9,2190.209273099846
8,10,1274.7396047982381
8,16,2807.5752931218713
8,30,910.2238911949192
8,31,739.9167143100235
8,32,613.7391485663263
8,54,2433.142480664799
8,61,195.45192032077958
9,10,1243.01854888356
9,13,1436.8363535823794
9,17,1322.6445650834232
9,29,512.9548338596136
9,30,105.83943845565591
10,11,1056.009336271883
10,12,314.2239237886442
10,13,566.7272128462837
10,16,1041.6169585083164
11,12,1117.8567079879406
11,16,993.646801016639
12,13,1867.3594303389957
12,16,2530.7323882082296
13,14,2087.737803546812
13,15,480.50382900216186
13,16,476.82533289650587
13,17,2655.894187810093
13,28,243.8662827869779
14,15,1958.5797539812304
14,26,132.26768744322874
14,28,759.4808690086961
14,476,1218.4017853727223
14,477,963.3665591013022
14,485,2195.201354479079
15,16,2868.3517830848277
15,485,997.7847000575816
16,54,3183.7794878250825
16,485,2543.6139397368875
16,3874,221.72461414466807
16,3875,2094.6538885269038
16,3880,5225.414205609843
17,28,893.2936550976909
17,29,904.1759296661127
18,19,606.141198234003
18,20,665.8117300595663
18,32,462.7820046276619
18,46,391.98521402149566
18,47,525.512519018272
18,52,60.034459576675644
19,20,317.75952024003146
19,21,389.74165431813236
19,22,276.75523747758996
19,46,59.94925225342956
19,52,732.3763021044334
19,53,310.20370103936096
20,21,494.0693811505663
20,24,59.92745392478092
20,25,795.9377350983169
20,31,571.3240684045268
20,32,273.3894404865272
21,22,697.1705974241946
21,23,351.2773252437804
21,24,884.0143967937686
21,25,60.11026774560001
21,33,248.9981255978735
21,34,293.3770920365743
22,23,811.912465492561
22,53,742.4629788481348
22,168,1322.6506174214478
22,476,208.14566193216314
23,34,473.1057515215759
23,472,353.738605663828
23,476,132.28332883726156
24,25,753.9640585164757
24,26,362.70993013987635
24,33,257.8328070753269
24,35,424.90552488580545
24,36,667.5715294344209
25,26,212.72873676209207
25,29,59.97285286051269
25,30,284.3643726441411
25,31,776.0030490424293
26,28,1998.944445134725
26,29,412.8979419519488
26,30,60.35816604744018
26,36,1738.6736061828005
26,37,695.4361383496953
26,476,582.5297920872397
27,35,760.1221844874389
27,36,1386.0106933588731
27,39,1001.1167381375442
27,476,854.2550161109776
28,29,1914.1147805038531
29,30,1278.4736022031677
30,31,1437.019679602388
31,32,1324.2413145976632
32,47,814.0185035015842
32,50,891.6737088243088
32,61,256.9183581340483
33,34,523.3781908433054
33,35,677.1609397440502
33,470,134.0610572689127
34,470,265.0977716768419
34,472,256.54856371331744
34,473,69.61603493252854
35,36,239.6423421828815
35,470,591.9571704641828
35,471,164.98979149831865
35,476,258.5174735141092
36,37,475.12007605858787
36,39,422.0302440183057
37,38,713.8844776775574
37,39,302.5322958392945
37,476,118.86512171275294
38,39,570.3045252328512
38,476,462.8477174692242
39,476,369.4648866211823
40,41,1184.93452420451
40,48,1141.2000183145415
40,168,1282.7184068917397
41,42,566.7516109927445
41,44,602.2742522039944
41,46,60.817597157977104
41,48,309.9030944970008
41,168,1000.1606400868442
42,43,443.0708535806154
42,44,280.1689400171837
42,168,1338.1303423883514
43,44,392.72588521175
43,45,862.6100545190419
43,51,660.97367333877
43,52,303.80239657647076
43,168,1168.485217731961
44,45,554.9448123335051
44,46,600.5170142707726
44,48,59.94585060008343
45,46,510.9841053579168
45,52,502.2581521881539
46,47,851.1280224452329
46,48,262.3437553302072
46,49,59.944040389885274
46,52,185.99809287720655
47,48,60.0735501281105
47,49,405.5324176021538
47,50,819.2026653111284
48,49,1016.2904486510752
48,62,191.69110747056087
48,66,430.13888146426643
48,67,138.83614198966708
48,168,2309.837536581968
48,462,547.1685688566531
48,464,211.0266649661246
49,50,372.8019054394413
49,61,106.87120296744106
49,464,987.5867420851712
49,468,253.1341918326633
50,61,894.920278564565
51,52,1207.5744010767373
51,53,171.76103711063507
51,168,1932.3279189341674
52,53,714.8121263644477
53,168,2138.109931236423
54,56,1882.7851083043802
54,58,1873.9812159518594
54,59,949.0209652543186
54,61,1427.318337853912
54,80,2061.679125075826
54,3872,685.8455839173849
54,3873,466.9611196539016
54,3874,1676.570608944605
55,56,1561.865154488149
55,57,169.18382535842503
55,63,126.86986681970644
55,65,400.1416463670772
55,70,2150.111264197154
55,80,158.3036595337173
55,450,364.4187282537436
55,451,441.78817463979516
55,461,408.88084946660683
56,57,769.8994351324727
56,58,661.1298142447886
56,80,1771.2342679804387
57,58,506.10168530646905
57,60,459.8495081237085
57,451,589.0001693697941
57,452,625.8894800279006
58,59,1284.0182911160773
58,60,115.51522985246433
59,60,614.076534011087
59,61,630.0634070574623
60,61,351.7946242840543
60,452,167.28534592178556
60,454,1561.1475734171534
60,456,582.5037503196489
61,456,451.97915608554354
61,468,614.3847408071281
62,63,863.6060667913894
62,65,517.2760985239132
62,66,978.0685591067324
62,462,267.79933043646315
63,65,231.16432230526328
63,461,1091.4221315668171
63,462,484.3398895014432
64,65,898.6915193992845
64,69,457.1491106576714
64,70,251.42695530933693
64,71,60.00124200948034
64,74,738.3148820612714
65,66,338.9534949869656
65,67,64.61470640205428
65,68,178.39324280014
65,69,535.6327713538226
65,70,663.3816363423153
66,67,782.8031242242206
67,68,1047.1449098255855
67,168,1447.0210552457547
68,69,505.5196899784976
68,168,2329.723260113616
69,74,193.6842305103524
69,75,268.5584516109079
69,168,2322.009497176076
70,71,2026.6789111240344
70,74,61.27230413322606
70,80,694.460604260967
71,72,1158.6728937350777
71,73,60.523603761458034
71,74,774.6428990481337
71,78,154.94719118142854
71,80,2699.5418283462363
72,73,180.1443824690306
72,74,60.48141084483308
72,78,523.2510218117949
72,79,618.7591259225308
72,80,59.932205311733746
73,74,756.5324075284465
73,75,725.0681529258819
73,79,563.5274148766822
73,89,597.682054464513
74,75,428.42132498444715
75,89,514.0217929256856
75,168,3281.8619899844152
76,77,761.8240350959081
76,78,246.50760335091255
76,79,353.25201100412073
76,87,230.19296893202485
76,89,527.5914980653902
77,78,507.39131983361546
77,80,94.84985689266216
77,87,770.3882420445246
77,88,1052.3121055539893
78,79,392.22614726057077
78,80,457.20863828535056
79,89,81.73212276404645
80,81,1909.712271744061
80,84,824.1416699143086
80,85,2099.4866853165504
80,88,1271.1698657459615
80,141,880.9664264224848
80,142,1714.7846978105827
80,145,980.2342838623689
80,3871,184.6481210205996
80,3872,1028.5786123892453
80,3884,929.6338116689925
80,3885,3519.8731702317045
