value_id,display_value,raw_value,units,source_file,source_columns,analysis_step,figure_table_reference,manuscript_location
A_base_max_min_ratio,1.3138311735419057,1.3138311735419057,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_max_rel_dev,0.16085088622708588,0.16085088622708588,,outputs/tables/model_results.csv,,aggregate_results,T3,Results §3.2
A_base_mean_abs_dev,0.0824203618438752,0.0824203618438752,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_rms_dev,0.09421930905113261,0.09421930905113261,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_contiguous,True,True,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_polsby_popper_mean,0.03324447705769508,0.03324447705769508,,outputs/tables/model_results.csv,,aggregate_results,T3,Results §3.2
A_base_polsby_popper_min,0.011690560105553872,0.011690560105553872,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_n_split_munis,0.0,0.0,,outputs/tables/model_results.csv,,aggregate_results,T3,Results §3.2
A_base_severed_flow_total,243932.5,243932.5,,outputs/tables/model_results.csv,,aggregate_results,T3,Results §3.2
A_base_severed_fraction,0.2733535416923473,0.2733535416923473,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_within_district_retention,648437.5,648437.5,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_cross_pref_flow,39733.0,39733.0,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_cross_pref_flow_severed,39733.0,39733.0,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_cross_pref_flow_retained,0.0,0.0,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_total_boundary_m,5355039.863057774,5355039.863057774,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_objective,1793321.0,1793321.0,,outputs/tables/model_results.csv,,aggregate_results,,
A_base_status,FEASIBLE,FEASIBLE,,outputs/tables/model_results.csv,,aggregate_results,,
A_on_max_min_ratio,1.3138311735419057,1.3138311735419057,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_max_rel_dev,0.16085088622708588,0.16085088622708588,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_mean_abs_dev,0.0824203618438752,0.0824203618438752,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_rms_dev,0.09421930905113261,0.09421930905113261,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_on_contiguous,True,True,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
